Longitude,Latitude,Time,anomaly
1.25E,88.75S,0000 16 Oct 2018,-4.883224
3.75E,88.75S,0000 16 Oct 2018,-4.567607
6.25E,88.75S,0000 16 Oct 2018,-4.76653
8.75E,88.75S,0000 16 Oct 2018,-4.967074
11.25E,88.75S,0000 16 Oct 2018,-5.268072
13.75E,88.75S,0000 16 Oct 2018,-5.493134
16.25E,88.75S,0000 16 Oct 2018,-5.422024
18.75E,88.75S,0000 16 Oct 2018,-5.527908
21.25E,88.75S,0000 16 Oct 2018,-5.627278
23.75E,88.75S,0000 16 Oct 2018,-5.62654
26.25E,88.75S,0000 16 Oct 2018,-5.757274
28.75E,88.75S,0000 16 Oct 2018,-5.884896
31.25E,88.75S,0000 16 Oct 2018,-5.999353
33.75E,88.75S,0000 16 Oct 2018,-6.184145
36.25E,88.75S,0000 16 Oct 2018,-6.319506
38.75E,88.75S,0000 16 Oct 2018,-6.168273
41.25E,88.75S,0000 16 Oct 2018,-6.164005
43.75E,88.75S,0000 16 Oct 2018,-6.10335
46.25E,88.75S,0000 16 Oct 2018,-5.901462
48.75E,88.75S,0000 16 Oct 2018,-5.905137
51.25E,88.75S,0000 16 Oct 2018,-6.052271
53.75E,88.75S,0000 16 Oct 2018,-6.097175
56.25E,88.75S,0000 16 Oct 2018,-6.79614
58.75E,88.75S,0000 16 Oct 2018,-6.913778
61.25E,88.75S,0000 16 Oct 2018,-6.886402
63.75E,88.75S,0000 16 Oct 2018,-6.860991
66.25E,88.75S,0000 16 Oct 2018,-6.842719
68.75E,88.75S,0000 16 Oct 2018,-6.832078
71.25E,88.75S,0000 16 Oct 2018,-6.8187
73.75E,88.75S,0000 16 Oct 2018,-6.802471
76.25E,88.75S,0000 16 Oct 2018,-6.817953
78.75E,88.75S,0000 16 Oct 2018,-6.849515
81.25E,88.75S,0000 16 Oct 2018,-6.853381
83.75E,88.75S,0000 16 Oct 2018,-6.986725
86.25E,88.75S,0000 16 Oct 2018,-6.982113
88.75E,88.75S,0000 16 Oct 2018,-6.987463
91.25E,88.75S,0000 16 Oct 2018,-7.012249
93.75E,88.75S,0000 16 Oct 2018,-7.012684
96.25E,88.75S,0000 16 Oct 2018,-7.016214
98.75E,88.75S,0000 16 Oct 2018,-7.019104
101.25E,88.75S,0000 16 Oct 2018,-7.076974
103.75E,88.75S,0000 16 Oct 2018,-6.287335
106.25E,88.75S,0000 16 Oct 2018,-6.212389
108.75E,88.75S,0000 16 Oct 2018,-6.13767
111.25E,88.75S,0000 16 Oct 2018,-6.15721
113.75E,88.75S,0000 16 Oct 2018,-6.407922
116.25E,88.75S,0000 16 Oct 2018,-6.564453
118.75E,88.75S,0000 16 Oct 2018,-6.609437
121.25E,88.75S,0000 16 Oct 2018,-6.655424
123.75E,88.75S,0000 16 Oct 2018,-6.575265
126.25E,88.75S,0000 16 Oct 2018,-6.467564
128.75E,88.75S,0000 16 Oct 2018,-6.354541
